		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Hum		Wind	Wind	ISS 	Arc.
01/11/22	4:20 p	11.2	11.2	11.2	81	8.1	2.2	SE	1.34	5.4	E	10.4	11.1	10.3	---	1050.4	0.00	0.0	---	---	---	0.049	0.000	12.1	56	3.6	11.3	10.43	1.2738	---	---	0.00	206	6	100.0	10
01/11/22	4:30 p	11.2	11.2	11.2	81	8.1	2.7	SE	1.61	5.8	SSE	10.1	11.1	10.0	---	1050.6	0.00	0.0	---	---	---	0.049	0.000	12.1	56	3.5	11.3	10.42	1.2743	---	---	0.00	208	6	100.0	10
01/11/22	4:40 p	11.3	11.3	11.2	82	8.3	1.8	SE	1.07	6.3	SSE	10.8	11.2	10.8	---	1050.4	0.00	0.0	---	---	---	0.049	0.000	12.1	57	3.8	11.3	10.62	1.2738	---	---	0.00	206	6	100.0	10
01/11/22	4:50 p	11.4	11.4	11.3	81	8.2	3.1	SE	1.88	6.3	SSE	10.1	11.3	10.0	---	1050.2	0.25	0.0	---	---	---	0.048	0.000	12.0	57	3.7	11.2	10.62	1.2739	---	---	0.00	206	6	100.0	10
01/11/22	5:00 p	11.5	11.6	11.4	81	8.4	2.2	SSE	1.34	5.8	SSE	10.8	11.4	10.7	---	1050.1	0.00	0.0	---	---	---	0.047	0.000	12.0	57	3.7	11.2	10.62	1.2738	---	---	0.00	207	6	100.0	10
01/11/22	5:10 p	11.6	11.6	11.5	81	8.4	1.8	SSE	1.07	5.4	SSE	11.2	11.4	11.1	---	1050.1	0.25	0.0	---	---	---	0.047	0.000	12.0	57	3.7	11.2	10.62	1.2738	---	---	0.00	205	6	100.0	10
01/11/22	5:20 p	11.6	11.6	11.6	80	8.2	1.8	SSE	1.07	4.5	SE	11.2	11.4	11.0	---	1049.9	0.00	0.0	---	---	---	0.047	0.000	11.9	58	3.9	11.2	10.75	1.2737	---	---	0.00	207	6	100.0	10
01/11/22	5:30 p	11.6	11.6	11.6	80	8.3	1.3	ESE	0.80	4.0	ENE	11.6	11.4	11.4	---	1050.0	0.00	0.0	---	---	---	0.047	0.000	11.9	58	3.9	11.2	10.75	1.2738	---	---	0.00	208	6	100.0	10
01/11/22	5:40 p	11.7	11.7	11.6	80	8.3	1.8	SE	1.07	5.8	SE	11.3	11.5	11.1	---	1050.1	0.00	0.0	---	---	---	0.046	0.000	11.9	58	3.9	11.2	10.75	1.2739	---	---	0.00	208	6	100.0	10
01/11/22	5:50 p	11.7	11.7	11.6	80	8.3	1.3	ESE	0.80	4.0	SE	11.7	11.5	11.5	---	1050.3	0.00	0.0	---	---	---	0.046	0.000	11.9	59	4.2	11.2	10.95	1.2740	---	---	0.00	207	6	100.0	10
01/11/22	6:00 p	11.7	11.7	11.7	80	8.3	1.3	ESE	0.80	3.6	ESE	11.7	11.5	11.5	---	1050.3	0.00	0.0	---	---	---	0.046	0.000	11.9	59	4.2	11.2	10.95	1.2740	---	---	0.00	207	6	100.0	10
01/11/22	6:10 p	11.7	11.8	11.7	80	8.4	1.3	ESE	0.80	3.1	ESE	11.7	11.6	11.6	---	1050.3	0.25	0.0	---	---	---	0.046	0.000	11.9	59	4.2	11.2	10.95	1.2740	---	---	0.00	207	6	100.0	10
01/11/22	6:20 p	11.8	11.9	11.8	80	8.5	1.3	ESE	0.80	3.1	ESE	11.8	11.7	11.7	---	1050.1	0.25	1.5	---	---	---	0.045	0.000	11.9	59	4.2	11.2	10.95	1.2738	---	---	0.00	209	6	100.0	10
01/11/22	6:30 p	11.8	11.9	11.8	80	8.5	0.9	ENE	0.54	3.1	SE	11.8	11.7	11.7	---	1050.0	0.00	1.0	---	---	---	0.045	0.000	11.9	60	4.4	11.3	11.08	1.2734	---	---	0.00	208	6	100.0	10
01/11/22	6:40 p	11.8	11.8	11.7	80	8.4	0.4	ENE	0.27	2.7	ESE	11.8	11.6	11.6	---	1049.8	0.25	1.0	---	---	---	0.046	0.000	11.9	60	4.4	11.3	11.08	1.2732	---	---	0.00	207	6	100.0	10
01/11/22	6:50 p	11.6	11.7	11.6	80	8.3	0.9	ENE	0.54	2.2	ENE	11.6	11.4	11.4	---	1050.0	0.25	2.3	---	---	---	0.047	0.000	11.9	60	4.4	11.3	11.08	1.2734	---	---	0.00	205	6	100.0	10
01/11/22	7:00 p	11.5	11.6	11.4	80	8.2	0.4	SE	0.27	1.8	E	11.5	11.3	11.3	---	1049.9	0.25	2.0	---	---	---	0.047	0.000	11.9	60	4.4	11.3	11.08	1.2733	---	---	0.00	206	6	100.0	10
01/11/22	7:10 p	11.5	11.6	11.4	80	8.2	0.4	SSW	0.27	2.7	SSW	11.5	11.3	11.3	---	1049.9	0.00	1.0	---	---	---	0.047	0.000	11.9	60	4.4	11.3	11.08	1.2734	---	---	0.00	206	6	100.0	10
01/11/22	7:20 p	11.6	11.6	11.5	80	8.2	0.9	S	0.54	2.2	SE	11.6	11.4	11.4	---	1049.9	0.51	3.3	---	---	---	0.047	0.000	11.9	61	4.7	11.3	11.28	1.2731	---	---	0.00	204	6	100.0	10
01/11/22	7:30 p	11.6	11.6	11.6	80	8.3	0.9	S	0.54	2.7	SSE	11.6	11.4	11.4	---	1050.0	0.25	3.3	---	---	---	0.047	0.000	11.9	61	4.7	11.3	11.28	1.2732	---	---	0.00	205	6	100.0	10
01/11/22	7:40 p	11.6	11.7	11.6	80	8.3	1.3	S	0.80	3.6	SSE	11.6	11.4	11.4	---	1049.7	0.51	2.5	---	---	---	0.047	0.000	11.9	61	4.7	11.3	11.28	1.2729	---	---	0.00	206	6	100.0	10
01/11/22	7:50 p	11.7	11.7	11.6	80	8.3	1.3	S	0.80	4.0	SSE	11.7	11.5	11.5	---	1049.4	0.00	1.3	---	---	---	0.046	0.000	11.9	61	4.7	11.3	11.28	1.2726	---	---	0.00	206	6	100.0	10
01/11/22	8:00 p	11.6	11.7	11.6	80	8.3	1.3	SE	0.80	4.9	SSE	11.6	11.4	11.4	---	1049.5	0.00	0.0	---	---	---	0.047	0.000	11.9	61	4.6	11.2	11.28	1.2730	---	---	0.00	204	6	100.0	10
01/11/22	8:10 p	11.6	11.6	11.6	81	8.4	1.3	SE	0.80	3.6	ESE	11.6	11.4	11.4	---	1050.0	0.25	0.0	---	---	---	0.047	0.000	11.9	62	4.9	11.3	11.55	1.2731	---	---	0.00	204	6	100.0	10
01/11/22	8:20 p	11.6	11.6	11.6	81	8.4	0.9	S	0.54	3.1	S	11.6	11.4	11.4	---	1049.9	0.00	0.0	---	---	---	0.047	0.000	11.9	62	4.8	11.3	11.55	1.2733	---	---	0.00	201	6	99.5	10
01/11/22	8:30 p	11.5	11.6	11.4	81	8.4	1.3	S	0.80	4.9	S	11.5	11.4	11.4	---	1049.7	0.00	0.0	---	---	---	0.047	0.000	11.9	62	4.8	11.3	11.55	1.2731	---	---	0.00	205	6	100.0	10
01/11/22	8:40 p	11.4	11.5	11.4	82	8.5	1.8	S	1.07	5.4	S	11.1	11.3	10.9	---	1049.8	0.25	0.0	---	---	---	0.048	0.000	11.9	62	4.8	11.3	11.55	1.2731	---	---	0.00	204	6	100.0	10
01/11/22	8:50 p	11.4	11.4	11.4	82	8.4	0.9	SSE	0.54	4.5	S	11.4	11.3	11.3	---	1049.8	0.00	0.0	---	---	---	0.048	0.000	11.9	62	4.8	11.3	11.55	1.2732	---	---	0.00	203	6	100.0	10
01/11/22	9:00 p	11.4	11.5	11.4	82	8.5	0.9	S	0.54	3.1	SSW	11.4	11.3	11.3	---	1050.1	0.00	0.0	---	---	---	0.048	0.000	11.9	62	4.8	11.3	11.55	1.2736	---	---	0.00	208	6	100.0	10
01/11/22	9:10 p	11.6	11.6	11.5	82	8.6	0.9	SSE	0.54	3.6	SE	11.6	11.4	11.4	---	1050.1	0.00	0.0	---	---	---	0.047	0.000	11.9	63	5.1	11.3	11.75	1.2731	---	---	0.00	207	6	100.0	10
01/11/22	9:20 p	11.6	11.6	11.5	82	8.6	1.3	S	0.80	4.5	SSE	11.6	11.4	11.4	---	1050.6	0.00	0.0	---	---	---	0.047	0.000	11.9	63	5.1	11.3	11.75	1.2737	---	---	0.00	207	6	100.0	10
01/11/22	9:30 p	11.5	11.6	11.5	82	8.5	0.9	S	0.54	4.0	WSW	11.5	11.4	11.4	---	1050.7	0.00	0.0	---	---	---	0.047	0.000	11.9	63	5.1	11.3	11.75	1.2738	---	---	0.00	208	6	100.0	10
01/11/22	9:40 p	11.6	11.6	11.5	81	8.4	1.8	SSE	1.07	4.9	SSE	11.2	11.4	11.1	---	1050.8	0.00	0.0	---	---	---	0.047	0.000	11.9	63	5.1	11.3	11.75	1.2740	---	---	0.00	209	6	100.0	10
01/11/22	9:50 p	11.7	11.7	11.6	81	8.5	1.3	S	0.80	4.9	SW	11.7	11.5	11.5	---	1051.0	0.00	0.0	---	---	---	0.046	0.000	11.9	63	5.1	11.3	11.75	1.2742	---	---	0.00	207	6	100.0	10
01/11/22	10:00 p	11.8	11.8	11.7	81	8.6	1.8	S	1.07	4.9	SE	11.4	11.6	11.2	---	1050.8	0.00	0.0	---	---	---	0.046	0.000	12.0	63	5.2	11.4	11.75	1.2736	---	---	0.00	208	6	100.0	10
01/11/22	10:10 p	11.8	11.8	11.7	81	8.6	2.7	SSE	1.61	7.6	SSE	10.8	11.6	10.6	---	1050.7	0.25	0.0	---	---	---	0.046	0.000	12.0	64	5.4	11.4	12.02	1.2733	---	---	0.00	206	6	100.0	10
01/11/22	10:20 p	11.8	11.8	11.7	81	8.6	2.7	SSE	1.61	7.2	SSE	10.8	11.6	10.6	---	1050.5	0.00	0.0	---	---	---	0.046	0.000	12.0	64	5.4	11.4	12.02	1.2731	---	---	0.00	208	6	100.0	10
01/11/22	10:30 p	11.8	11.8	11.7	81	8.6	2.2	SSE	1.34	4.9	NNW	11.1	11.6	10.9	---	1050.5	0.00	0.0	---	---	---	0.046	0.000	12.0	64	5.4	11.4	12.02	1.2731	---	---	0.00	206	6	100.0	10
01/11/22	10:40 p	11.8	11.8	11.8	81	8.6	2.7	SE	1.61	5.8	SE	10.8	11.6	10.6	---	1050.6	0.00	0.0	---	---	---	0.046	0.000	12.0	64	5.4	11.4	12.02	1.2732	---	---	0.00	208	6	100.0	10
01/11/22	10:50 p	11.7	11.8	11.7	81	8.6	2.7	S	1.61	7.2	SE	10.7	11.6	10.6	---	1050.9	0.25	0.0	---	---	---	0.046	0.000	12.0	64	5.4	11.4	12.02	1.2736	---	---	0.00	209	6	100.0	10
01/11/22	11:00 p	11.8	11.8	11.7	81	8.6	2.7	SSE	1.61	6.7	SSE	10.8	11.6	10.6	---	1050.9	0.00	0.0	---	---	---	0.046	0.000	12.0	64	5.4	11.4	12.02	1.2736	---	---	0.00	208	6	100.0	10
01/11/22	11:10 p	11.8	11.9	11.8	81	8.7	3.1	SSE	1.88	6.7	SSE	10.7	11.7	10.5	---	1051.2	0.00	0.0	---	---	---	0.045	0.000	12.0	64	5.4	11.4	12.02	1.2739	---	---	0.00	208	6	100.0	10
01/11/22	11:20 p	11.9	11.9	11.8	81	8.7	2.7	S	1.61	6.3	ESE	10.9	11.7	10.8	---	1050.9	0.00	0.0	---	---	---	0.045	0.000	12.1	65	5.7	11.5	12.22	1.2732	---	---	0.00	208	6	100.0	10
01/11/22	11:30 p	11.9	11.9	11.9	81	8.7	2.7	S	1.61	8.0	S	10.9	11.7	10.8	---	1051.3	0.00	0.0	---	---	---	0.045	0.000	12.1	65	5.7	11.5	12.22	1.2736	---	---	0.00	209	6	100.0	10
01/11/22	11:40 p	11.9	11.9	11.9	81	8.7	3.1	S	1.88	8.0	WSW	10.7	11.7	10.6	---	1051.1	0.00	0.0	---	---	---	0.045	0.000	12.1	65	5.7	11.5	12.22	1.2734	---	---	0.00	208	6	100.0	10
01/11/22	11:50 p	11.9	11.9	11.9	81	8.7	3.6	S	2.15	7.6	SSE	10.3	11.7	10.2	---	1051.2	0.25	0.0	---	---	---	0.045	0.000	12.1	65	5.7	11.5	12.22	1.2735	---	---	0.00	209	6	100.0	10
01/12/22	12:00 a	11.9	11.9	11.8	81	8.7	3.1	S	1.88	8.9	SSE	10.7	11.7	10.6	---	1051.0	0.00	0.0	---	---	---	0.045	0.000	12.1	65	5.7	11.5	12.22	1.2733	---	---	0.00	209	6	100.0	10
01/12/22	12:10 a	11.9	11.9	11.8	81	8.7	3.1	S	1.88	7.2	SSE	10.7	11.7	10.6	---	1051.1	0.00	0.0	---	---	---	0.045	0.000	12.1	65	5.7	11.5	12.22	1.2734	---	---	0.00	206	6	100.0	10
01/12/22	12:20 a	11.9	11.9	11.9	81	8.7	3.1	S	1.88	9.4	SSE	10.7	11.7	10.6	---	1051.0	0.25	0.0	---	---	---	0.045	0.000	12.1	66	5.9	11.6	12.42	1.2731	---	---	0.00	208	6	100.0	10
01/12/22	12:30 a	11.9	11.9	11.8	81	8.7	2.7	S	1.61	6.7	SE	10.9	11.7	10.8	---	1051.1	0.00	0.0	---	---	---	0.045	0.000	12.1	66	5.9	11.6	12.42	1.2732	---	---	0.00	209	6	100.0	10
01/12/22	12:40 a	11.9	11.9	11.9	81	8.7	2.2	S	1.34	6.7	SSW	11.2	11.7	11.1	---	1051.2	0.00	0.0	---	---	---	0.045	0.000	12.0	66	5.8	11.5	12.42	1.2736	---	---	0.00	208	6	100.0	10
01/12/22	12:50 a	11.9	11.9	11.9	81	8.7	3.1	SSE	1.88	8.9	SSE	10.7	11.7	10.6	---	1051.3	0.00	0.0	---	---	---	0.045	0.000	12.1	66	5.9	11.6	12.42	1.2734	---	---	0.00	208	6	100.0	10
01/12/22	1:00 a	12.0	12.1	11.9	81	8.8	3.1	SSE	1.88	6.7	SW	10.8	11.8	10.7	---	1051.5	0.00	0.0	---	---	---	0.044	0.000	12.1	66	5.9	11.6	12.42	1.2737	---	---	0.00	209	6	100.0	10
01/12/22	1:10 a	11.9	12.0	11.9	81	8.8	2.2	SSE	1.34	6.3	SSE	11.3	11.8	11.1	---	1051.6	0.00	0.0	---	---	---	0.044	0.000	12.0	66	5.8	11.5	12.42	1.2741	---	---	0.00	209	6	100.0	10
01/12/22	1:20 a	11.9	12.0	11.9	81	8.8	2.2	S	1.34	6.3	SSE	11.3	11.8	11.1	---	1051.7	0.00	0.0	---	---	---	0.044	0.000	12.1	67	6.1	11.6	12.70	1.2737	---	---	0.00	206	6	100.0	10
01/12/22	1:30 a	12.0	12.1	11.9	81	8.8	2.7	S	1.61	6.3	E	11.1	11.8	10.9	---	1051.8	0.00	0.0	---	---	---	0.044	0.000	12.1	67	6.1	11.6	12.70	1.2739	---	---	0.00	206	6	100.0	10
01/12/22	1:40 a	12.1	12.1	12.0	81	8.9	2.2	S	1.34	5.8	SSE	11.4	11.9	11.2	---	1051.9	0.00	0.0	---	---	---	0.044	0.000	12.1	67	6.1	11.6	12.70	1.2740	---	---	0.00	209	6	100.0	10
01/12/22	1:50 a	12.1	12.1	12.1	81	8.9	2.2	SSE	1.34	6.3	S	11.5	11.9	11.3	---	1052.0	0.00	0.0	---	---	---	0.043	0.000	12.1	67	6.1	11.6	12.70	1.2742	---	---	0.00	208	6	100.0	10
01/12/22	2:00 a	12.1	12.1	12.1	81	8.9	3.1	SSE	1.88	7.2	SSE	10.9	11.9	10.7	---	1052.1	0.00	0.0	---	---	---	0.044	0.000	12.1	67	6.2	11.6	12.70	1.2739	---	---	0.00	208	6	100.0	10
01/12/22	2:10 a	12.1	12.1	12.1	81	8.9	2.2	S	1.34	6.7	S	11.4	11.9	11.2	---	1051.9	0.00	0.0	---	---	---	0.044	0.000	12.1	67	6.2	11.6	12.70	1.2737	---	---	0.00	205	6	100.0	10
01/12/22	2:20 a	12.1	12.1	12.1	81	8.9	2.2	SSE	1.34	6.7	SSE	11.5	11.9	11.3	---	1052.3	0.00	0.0	---	---	---	0.043	0.000	12.1	67	6.2	11.6	12.70	1.2742	---	---	0.00	209	6	100.0	10
01/12/22	2:30 a	12.2	12.2	12.1	81	9.0	2.2	SE	1.34	5.4	SSE	11.6	12.0	11.4	---	1052.3	0.00	0.0	---	---	---	0.043	0.000	12.2	68	6.4	11.7	12.91	1.2737	---	---	0.00	207	6	100.0	10
01/12/22	2:40 a	12.2	12.2	12.2	81	9.1	1.8	SE	1.07	5.8	SE	11.9	12.1	11.8	---	1052.3	0.00	0.0	---	---	---	0.042	0.000	12.2	68	6.4	11.7	12.91	1.2737	---	---	0.00	206	6	100.0	10
01/12/22	2:50 a	12.2	12.3	12.2	81	9.1	2.2	S	1.34	7.6	S	11.6	12.1	11.4	---	1052.1	0.00	0.0	---	---	---	0.042	0.000	12.2	68	6.4	11.7	12.91	1.2734	---	---	0.00	209	6	100.0	10
01/12/22	3:00 a	12.2	12.3	12.2	81	9.1	1.8	S	1.07	4.9	SSE	11.9	12.1	11.8	---	1052.0	0.00	0.0	---	---	---	0.042	0.000	12.2	68	6.4	11.7	12.91	1.2733	---	---	0.00	209	6	100.0	10
01/12/22	3:10 a	12.2	12.3	12.2	81	9.1	2.2	SSE	1.34	6.3	SSE	11.6	12.1	11.4	---	1051.8	0.00	0.0	---	---	---	0.042	0.000	12.2	68	6.4	11.7	12.91	1.2732	---	---	0.00	206	6	100.0	10
01/12/22	3:20 a	12.2	12.3	12.2	81	9.1	3.1	SSE	1.88	8.0	SSE	11.1	12.1	10.9	---	1051.8	0.25	0.0	---	---	---	0.042	0.000	12.2	68	6.5	11.7	12.91	1.2728	---	---	0.00	207	6	100.0	10
01/12/22	3:30 a	12.2	12.2	12.2	81	9.0	3.1	SSE	1.88	7.2	S	11.1	12.0	10.9	---	1052.1	0.00	0.0	---	---	---	0.043	0.000	12.2	68	6.5	11.7	12.91	1.2732	---	---	0.00	208	6	100.0	10
01/12/22	3:40 a	12.2	12.2	12.2	81	9.1	2.2	SSE	1.34	8.0	SSE	11.6	12.1	11.4	---	1051.8	0.00	0.0	---	---	---	0.042	0.000	12.2	69	6.7	11.8	13.21	1.2727	---	---	0.00	208	6	100.0	10
01/12/22	3:50 a	12.2	12.3	12.2	81	9.1	3.1	SSE	1.88	8.0	SSE	11.1	12.1	10.9	---	1051.8	0.00	0.0	---	---	---	0.042	0.000	12.2	69	6.7	11.8	13.21	1.2727	---	---	0.00	206	6	100.0	10
01/12/22	4:00 a	12.2	12.3	12.2	82	9.2	2.7	S	1.61	7.2	SSE	11.3	12.1	11.2	---	1051.8	0.00	0.0	---	---	---	0.042	0.000	12.2	69	6.7	11.8	13.21	1.2727	---	---	0.00	205	6	100.0	10
01/12/22	4:10 a	12.2	12.2	12.2	82	9.2	2.2	S	1.34	6.7	SSE	11.6	12.1	11.5	---	1051.6	0.00	0.0	---	---	---	0.042	0.000	12.3	69	6.8	11.8	13.21	1.2722	---	---	0.00	208	6	100.0	10
01/12/22	4:20 a	12.2	12.3	12.2	82	9.2	2.2	SSE	1.34	6.3	SSE	11.6	12.1	11.5	---	1051.5	0.00	0.0	---	---	---	0.042	0.000	12.3	69	6.8	11.8	13.21	1.2721	---	---	0.00	206	6	100.0	10
